Track	Speed	Height	Drop	Length	Duration	Inversions
Steel	49.7	108.3		2559.1		1
Steel	49.7	108.3		2585.3	120	1
Steel	49.7	109.3		2260.5	96	1
Steel	49.7	109.3		2260.5		1
Steel	49.7	109.9		2395		1
Steel	49.7	147.7	114.8	876	100	1
Steel	50	95		2100	65	1
Steel	50	131.3		1013.8	90	1
Steel	50	131.3		1013.8	90	1
Steel	50	131.3		1013.8	90	1
Steel	51	88	84	2210	92	1
Steel	52	95		2099		1
Steel	52	100		1246	60	1
Steel	52.8	98.4	100	2066.9	120	1
Steel	52.8	101.7	98.4	2477		0
Steel	52.8	101.7	98.4	2477		0
Steel	52.8	105		1837.3	90	1
Steel	52.8	108.3		2870.8		1
Steel	52.8	137.8		705.4		1
Steel	53.7	117.8	111.8	2454.1	92	1
Steel	54.7	104.3		2805.1	126	1
Steel	55	83	75	1942	75	1
Steel	55	98		1975		1
Steel	55	100	90	2900	120	1
Steel	55	100	90	2900	120	1
Steel	55	109		3320		1
Steel	55	115	95	2170	125	1
Steel	55	115	95	2170	125	1
Steel	55	115	95	2170	125	1
Steel	55	115	95	2170	125	1
Steel	55	138	138	985	90	1
Steel	55.9	108.3		2526.3	90	1
Steel	55.9	111.6		1968.5		1
Steel	55.9	131.3		3937	148	1
Steel	55.9	141.1		3349.8	180	1
Steel	56	102	93	2170	125	1
Steel	56	140	113	3359	155	1
Steel	57	121	128	4990	220	1
Steel	59	114.8		2460.7	80	1
Steel	60	102	130	4429		1
Steel	60	140		3035	78	1
Steel	60.3	137.8	124.67	2559.1	108	0
Steel	60.3	137.8	124.67	2559.1	108	0
Steel	62	150		863		1
Steel	62	150		863		1
Steel	62	150		863		1
Steel	62	150		863		1
Steel	62.1	98.4		2296.6		1
Steel	62.1	124.7		3464.6	150	1
Steel	62.1	124.7		3464.6	150	1
Steel	62.1	124.7		3464.6	150	1
Steel	62.1	131.3		2532.8	180	1
Steel	62.1	134.5		4530.8	130	1
Steel	62.1	139.4		1856.9		1
Steel	62.1	141.1		3280.8	112	1
Steel	62.1	164.1		902.3		1
Steel	63	150	141	3985	180	1
Steel	63	154	144	4155	150	1
Steel	63	154	144	4155	180	1
Steel	63	163	128	2682	108	1
Steel	64.9	131.3		2821.5		1
Steel	65	117	115	3470	150	1
Steel	65	149	144	4177	219	1
Steel	65	150	150	3700	180	0
Steel	65	150	150	3937	195	1
Steel	65	156	146	4370	180	1
Steel	65	157	148	4210		1
Steel	65.2	132		2800	150	1
Steel	65.3	151.6		492.2	50	1
Steel	65.3	151.6		492.2	50	1
Steel	65.3	151.6		492.2	50	1
Steel	65.3	151.6		492.2	50	1
Steel	65.3	151.6		492.2	50	1
Steel	65.3	151.6		492.2	60	1
Steel	65.3	151.6		492.2	60	1
Steel	65.3	151.6		590.6		1
Steel	65.6	191.5	177	1204	92	1
Steel	65.6	191.6	177	1204	92	1
Steel	65.6	191.6	177	1204	92	1
Steel	65.6	191.6	177	1204	92	1
Steel	66	120	155	3073	136	1
Steel	67	110	105	3700	135	1
Steel	67	170	164	4164	160	1
Steel	67	195	170	3828	190	1
Steel	67	203	144	4777	160	1
Steel	67.1	164.1		4192.9		1
Steel	67.1	209.3		541.3		0
Steel	68	65	180	1222		0
Steel	68	167	150	4124	160	1
Steel	68	173	155	3800	140	1
Steel	68.4	180.4		3215.3		1
Steel	70	155	80	2757		1
Steel	70	179	171	3266		1
Steel	70	188	171	3830	150	1
Steel	70	208		2735	150	1
Steel	71.5	166	178	5019.67	180	0
Steel	71.5	200.2	190.3	4176.5	128	1
Steel	72	205	194.6	5106	120	0
Steel	73	170	210	4882	135	0
Steel	73	202	208	5057	150	0
Steel	73	208	205	5400	200	0
Steel	74	207	196	5460	180	0
Steel	74.6	180.4		3280.8		1
Steel	75	200	205	5600	180	0
Steel	75	200		3600		0
Steel	75	205	205	5600	180	0
Steel	75	232	211	5316	213	0
Steel	76	175	215	3610		1
Steel	77	208	221	5400	155	0
Steel	78.9	239.5	219.8	4051.8		1
Steel	80	160	225	3000		1
Steel	80	165	133	1560		0
Steel	80	209	225	5843	163	0
Steel	80	230	215	5282	180	0
Steel	80	230	215	5394	240	0
Steel	80.8	259.2	229.7	6708.67	216	0
Steel	80.8	262.5	218.1	3500		0
Steel	82	160	228	3200		0
Steel	82	205	130	2202	62	0
Steel	83	170.6	196.8	2788.8		0
Steel	83.3	249.3	255.9	5131.3	180	0
Steel	85	235	255	4500	180	0
Steel	85	245	255	5312	210	0
Steel	90	305	300	5100	180	0
Steel	93	310	300	6595	165	0
Steel	95	318.25	306.75	8133.1		0
Steel	95	325	320	6602		0
Steel	100	377.33	328.1	1235	28	0
Steel	100	415	328.1	1235		0
Steel	120	420	400	2800		0
Steel	149.1	170.6		6561.7		0
Wood	40	63	58	1175		0
Wood	40	78	72	2558	105	0
Wood	47	80	75	2750	75	0
Wood	50	55	52	2650	105	0
Wood	50	70	70	2272		0
Wood	50	84	78	3360	105	0
Wood	50.1	95	87.3	2877	180	0
Wood	52	92	90	2680		0
Wood	53	98	88	4000	150	0
Wood	53	100	95	4230	133	0
Wood	55	70	76	2640		0
Wood	55	70	95	2887	90	0
Wood	55	101.5	100	3800	120	0
Wood	55.3	106.2		3218.5	150	1
Wood	55.9	105	105.7	3582.7	165	0
Wood	56	82	78	3150	150	0
Wood	62	110	92	3872	150	0
Wood	62	125	115	4325	150	0
Wood	62.1	131.3		3444.9	205	0
Wood	64.8	105	141	7400	220	0
Wood	65	95	151	4000	135	0
Wood	65	143	137	4920	150	0
Wood	65	161	155	5427	193	0
Wood	65	179.5	124	5080	146	0
Wood	66	127	147	4650	143	0
Wood	66.3	122	150	5051		0
Wood	68	107	162	2937	87	1
Wood	73	179.5	166.5	5080	146	0
Wood	78.4	218	214	7032		1
