listPrice	AmazonPrice	hardOrPaper	NumPages	PubYear	Height	Width	Thick	Weight
15.95	10.22	P	608	1995	8	5.2	1.1	17.6
21	13.43	H	624	1995	7.8	4.8	1.8	25.6
14	11.08	P	240	1990	8	5.2	0.6	8
20	13.6	P	200	2011	8.9	6	0.6	11.2
15	10.2	P	352	1990	8.3	5.2	0.8	9.6
14.95	10.17	P	320	2007	7.9	5.4	0.9	7.2
15.95	8.39	P	480	2006	8	5.4	1.1	14.4
14.99	10.19	P	481	2000	8	5.2	1.2	14.4
14	11.2	P	272	1988	8.1	5.2	0.6	9.9
12.95	8.36	P	308	2006	8.1	5.3	0.7	9.6
24.99	15.2	H	304	2011	8.8	6	1	14.4
15	8.68	P	326	2003	7.9	5.3	1	12
15	10.33	P	288	2001	8	5.2	0.6	16
25.95	25.95	H	192	2002	8.2	6.2	0.9	9.6
25	16.5	H	336	2003	8.4	5.4	1.2	16
9.99	9.99	P	208	1959	7.2	4.2	0.6	4
26.99	15.44	H	400	2011	9.1	6.4	1.4	22.4
17.99	10.58	H	54	1967	12.1	9.2	0.5	17.6
15	8.84	H	384	2010	7.9	5.2	1	10.4
15	8.15	P	304	2006	7.8	5.2	0.6	8
25.05	22.81	P	349	2005	9	6.1	0.9	13.4
17.99	11.24	H	384	2010	9	6.4	1.4	16
16	8.59	P	416	2001	8.3	5.3	1.1	12
14.99	10.19	P	352	1999	8	5.2	1	6.4
20	12.17	H	880	2011	7.9	5.4	2	35.2
7.99	7.99	P	352	2004	6.9	4.2	1	6.9
17.99	7.98	H	400	2010	8.3	5.4	1.5	22.4
14	11.2	P	244	1955	8	5.3	0.6	6.4
13.29	13.29	P	544	2004	8.5	5.2	1	28.8
16	10.77	P	448	2005	8.2	5.4	1.2	6.4
13.83	13.83	H	480	1987	8.5	5.2	1	17.6
12	9.6	P	194	1994	8	5.4	0.7	6.4
14.95	10.17	P	275	1989	7.9	5.1	0.7	7.2
15	7.9	P	298	2000	8	5.2	0.8	7.8
16.99	11.55	H	144	1989	8.1	5.8	0.6	12
15	10.2	P	224	1998	8	5.2	0.7	9
6.95	6.95	P	92	2010	7.8	5.1	1	16
14	8.75	P	112	2002	8.4	5.7	0.4	6.4
15	10.2	P	384	2010	7.8	5.1	0.9	9.9
20	13.6	H	607	2010	7.9	5.1	1.5	24
16	10.88	P	368	1979	7.8	5.2	1	11.2
15	10.2	P	224	1989	8	5.3	0.7	8
16	10.88	P	352	1999	8	5.4	0.7	10.4
15	10.09	P	320	2006	8.2	5.5	0.9	12
15	8.24	P	372	2008	7.8	5.1	0.7	10.4
16	8.61	P	368	2003	8.3	5.3	1.1	12
8.95	8.95	P	192	2004	8.1	5.2	0.4	5.6
5.99	5.99	P	160	2005	6.6	5.2	0.4	4.8
16	8.87	P	432	2007	8.2	5.3	1.2	15.2
15	9.98	P	272	2011	7.8	5.2	0.6	7.2
14	11.08	P	208	1989	7.9	5.4	0.6	7.8
35.95	35.95	P	176	2007	9.1	6.1	0.5	9.9
14.99	10.98	P	262	2011	9	6	0.7	16
7.95	7.95	H	272	1995	8.2	5.2	0.7	7.2
35.75	25.84	P	436	2010	9.5	7.4	1	25.6
14.95	5.98	P	416	1997	7.9	5.1	1.1	11.2
13	9.64	P	168	1964	8	5.3	0.4	5.6
15.95	10.85	P	288	2000	8.2	5.5	0.8	12.8
26	16.91	H	320	2010	9.3	6.3	1.3	1.2
5.99	5.99	P	336	2004	6.6	4.2	1	6.4
14.99	8.11	P	352	2011	8.2	5.4	1	14.4
16	12.47	P	224	2000	8.2	5.3	0.6	6.4
9.99	9.99	P	368	2010	8	4.2	1.2	6.4
15.95	10.85	P	352	2005	7.8	5.5	0.8	10.4
14.99	9.57	P	368	2011	8.2	5.2	1	11.2
14	11.08	P	336	1993	8.2	5.2	0.7	9.1
13.95	8.07	P	320	2008	8.2	5.4	0.9	11.2
15	6	P	320	2010	7.6	5.1	0.7	8
16	9.75	P	399	2002	8.1	5.5	0.9	15.2
32.95	21.75	H	352	2004	9.5	6.5	1.2	25.6
26.95	17.73	H	320	2011	9.4	6.4	1.3	20.8
15.99	9.58	H	176	2010	6.9	5.4	0.7	8.8
15	7.89	P	288	1999	8	5.3	0.6	9.6
24	16.32	H	242	2010	9.1	6.1	1.1	17.6
6.95	6.95	P	224	1993	7.6	5.3	0.6	8
16	10.22	P	352	1992	8.3	5.4	1	13.6
16	10.88	P	336	1989	7.9	5.1	0.8	11.2
26.95	17.79	H	176	2010	8.6	5.7	0.8	12.6
26.99	15.44	H	368	2011	9.1	5.6	1.4	19.2
7.99	7.99	P	224	2008	8.2	5.4	0.5	4.8
17.95	12.08	P	600	2010	8.2	5.5	1.6	20.8
35.75	21.68	P	288	2010	8.4	5.4	0.5	12
6.99	6.99	P	160	2002	9	7.2	0.4	8
9.99	9.99	P	400	2011	7.8	4.2	1.2	7.2
6.99	6.99	P	192	1989	6.7	4.2	0.6	4
15	10.2	P	192	2010	7.1	4.9	0.5	9.1
12	7.51	P	176	2011	5.2	7.2	0.5	7.8
9.99	9.99	P	160	1998	7.5	4.3	0.6	4
11.99	7.7	P	288	2009	5.5	8.2	0.8	9.6
15	10.2	P	304	2009	8.1	5.4	0.9	10.4
24	15.48	P	576	1992	8.4	5.5	1.4	22.4
16	10.77	P	304	1995	8	5.3	0.7	9.6
14.99	8.43	P	336	2009	7.4	6	0.8	8.8
12.14	9	P	336	1993	8.4	5.2	0.9	16
7.75	7.75	P	168	2011	8.9	5.9	0.5	9.6
14.1	11.99	H	116	1982	6.8	4.4	0.7	4.8
4.99	4.99	H	24	1999	5.7	4.3	0.4	8
13.95	8.5	P	352	2009	8.4	5.5	0.9	10.6
22	22	P	704	1988	8.3	6.1	1.2	24
12.99	7.31	P	576	2007	7.9	5.1	1.3	12.8
13.99	10.68	P	288	2004	5.5	8.2	0.9	10.4
8.95	8.95	P	176	2009	7.6	5.2	0.3	4.2
8.99	8.99	H	72	1957	9.3	6.8	0.4	8.5
7.95	7.95	H	688	2002	6.6	4.1	1.7	11.2
15	10.09	P	416	1997	8.2	5.4	1	13.6
17	11.44	P	412	1963	7.1	4.3	0.7	3.2
13	9.28	P	152	1976	7.7	5	0.4	4
12.99	9.66	P	192	2006	7.5	5.7	0.4	4.8
70.8	55.75	P	560	2005	8.9	5.8	0.9	19.2
48.2	39.72	P	400	2009	8.9	5.9	0.6	16
9.99	9.99	H	597	2009	7.5	4.3	1.3	12.8
30	20	P	384	2011	11	9	1	32
15	8.6	P	576	2011	8.3	5.2	1.6	19.2
14	8.04	P	131	1998	7.8	5.1	0.5	4.8
16.99	10.68	P	208	2006	7.8	5.3	0.6	5.6
22	14.96	H	160	2002	8.7	5.9	0.6	3.2
8.42	8.42	H	160	2003	9.1	6	0.7	16
9.99	9.99	P	336	2010	7.9	5.5	0.7	8.5
15	8.52	P	560	2010	8.5	5	1.5	16
14.95	8.26	P	600	2009	8.1	5.2	1.1	16
18.99	11.16	H	64	2004	10.3	7.9	0.5	16
10.95	7.82	P	104	1999	7.7	5.2	0.4	4.8
16.95	9.16	P	464	2008	8.1	5.6	1.4	16
28	16.09	H	208	2010	9.2	6.3	0.8	19.2
25	15.62	H	176	1996	9.6	6.3	0.7	13.6
15	8.84	P	180	1999	7.9	5.2	0.5	4
15	8.92	P	180	1999	7.9	5.2	0.5	4
15	8.05	H	290	2009	7.8	5.4	0.7	8
17	11.56	P	544	1994	8.1	5.5	1.1	16
13.95	7.7	P	368	2004	8.3	5	0.9	14.4
16	8.8	P	544	2011	8.3	5	0.8	9.6
11	6.4	P	110	1991	7.9	5.1	0.5	5.6
8.99	4.94	P	384	2010	8	5.2	0.8	11.2
17.99	10.21	H	384	2008	8.7	5.5	1.2	16
16	8	P	400	2011	8	5.2	1.2	16
15	8.36	P	304	2011	7.9	5.1	0.8	8.8
12	9.22	P	384	1996	7.9	5.6	1	15.2
17.99	9.99	P	320	2003	7.9	5.3	0.8	8.8
21.99	12.5	P	640	2003	7.9	5.4	1.6	19.2
15.95	8.95	P	784	2011	7.8	5.2	1.4	20.8
24.95	22.51	P	248	1999	8.5	5.5	0.5	9.9
16	9.52	P	384	2010	8.1	5.3	0.8	12.6
10.65	13.13	H	352	2010	8.3	6.4	1.2	15.2
13.99	7.79	P	432	2011	8.2	5.4	1.2	11.4
19.95	10.86	H	183	2010	7.1	5.3	0.8	9.1
14	11.2	P	208	1996	7.9	5.2	0.6	5.6
15	10.2	P	272	1990	8.1	5.4	0.6	7
16.95	11.53	P	447	1985	8.2	5.3	1.3	17.6
9.99	9.99	P	400	2010	8.2	5.5	0.7	13.4
14.95	10.17	P	241	1998	8	5.2	0.5	5.6
11	8.8	P	128	2001	8.1	5.4	0.4	5.6
17	10.47	P	560	1999	8.4	5.8	1.5	1.3
14.95	7.9	P	368	2010	6.9	6.1	1.2	26.4
9.99	9.99	P	192	1997	7.5	4.3	0.5	5.6
25	14.46	H	336	2011	9.3	6.4	1.1	22.4
14	8.22	P	213	1999	7.1	5.1	0.5	7.2
17.99	8.98	H	416	2011	8.3	5.7	1.5	17.6
30	23.94	P	248	2004	8.5	5.5	0.6	12
16.99	11.28	P	416	2006	7.9	5.2	1	12
34.8	24.9	P	368	2010	9.4	6.7	0.9	19.2
15.95	9.92	P	152	2008	7.7	5.1	0.5	4.8
7.77	7.77	P	140	2011	7.8	5.1	1	16
3.95	3.95	P	288	2003	6.7	4.1	1	5.6
2	0.77	P	128	1993	8.2	5.2	0.3	4.2
8.99	8.99	H	24	1997	5.8	4.4	0.6	1.6
18.95	15.15	P	304	2001	7.3	5	0.8	12
20	13.6	P	832	2009	9.2	5.9	1.5	32
20	13.6	H	272	2010	8	5.7	1	13.6
15.44	8.45	P	464	1993	8.5	5.1	0.8	15.2
22	14.96	H	368	1992	7.9	5	1	11.2
14.95	10.17	P	288	1996	8.1	5.3	0.6	9.1
17.99	10.88	H	72	1936	9.4	7.4	0.5	14.4
16	10.11	P	416	2006	8.2	5.2	1.2	13.6
14.95	8.28	P	256	2009	8	5.2	0.7	8.8
25	14.7	H	352	2011	8.3	5.7	1.1	17.6
14	14	P	248	2005	8.4	5.4	0.7	10.4
14.95	5.98	P	546	2004	7.9	5.3	1.2	13.6
26	13.7	H	384	2011	9.1	6.1	1.3	22.4
20	12.17	H	720	2010	7.9	5.3	1.7	28.8
13	10.29	P	132	2002	7.8	5.3	0.5	3.2
13.99	11.19	P	255	2006	8	5.4	0.7	8
15.99	8.5	P	256	2006	8.4	5.5	0.7	8.8
12.6	12.6	P	245	2009	7.3	5.3	0.4	6.4
10.99	6.9	P	336	2011	8.1	5.4	1	12
24.99	14.69	H	288	2011	5.1	8.5	1	15.2
28	16.08	H	480	2011	9.1	6.2	1.7	25.6
35	23.1	H	336	2006	8.9	6.1	1.3	17.6
15.95	10.68	P	672	2011	7.9	5.2	1.4	19.2
6.99	6.99	P	176	1993	7.6	5.2	0.4	3.2
14.95	10.75	P	320	2002	7.9	5.2	0.8	8.8
14.95	10.17	P	181	1994	8.2	5.3	0.5	7.2
14.95	10.17	P	368	1996	8.3	5.5	0.8	13.6
25	10	H	352	2008	8.5	5.9	1.4	20.8
27	13.49	H	496	2010	9.4	6.3	1.7	28
15	10.2	P	384	2001	8	5.2	0.9	10.6
15	10.2	P	308	2000	8	5.2	0.7	10.4
15.95	10.85	P	368	2005	7.9	5.2	0.9	10.4
14.95	8.14	P	350	2007	8.2	5.4	1	12.8
26	19.01	P	168	1993	8.9	6	0.5	7
18.99	12.24	H	192	2004	9.3	6.6	1.1	24
27.55	27.55	P	160	2011	9.1	6.1	0.7	8
12.95	5.18	P	224	2005	8	5.4	0.7	6.4
97.5	97.5	P	480	2010	10.7	8.9	0.9	14.4
16.99	4.95	P	344	2011	7.8	5.1	1	16
